module_progress_id,employee_id,course_id,module_id,is_completed,completed_at
1d2c825a-0cba-4c70-92db-0d3bbde75912,33d7361c-47af-44e2-8f25-f08e1bb8f5fe,cb7009cb-1c14-48d4-949d-424dbd672a55,f0b944df-19d4-4f32-94e5-6014400057e0,True,2024-02-15 05:26:39
04b1771f-188a-4cbb-8d25-71a331f5580b,33d7361c-47af-44e2-8f25-f08e1bb8f5fe,c55e2baa-e2f1-451f-be01-3616d99e9b3d,479179ef-575d-4f3b-8276-23c2451dc75d,False,
82ddf00c-2e98-4e77-ab2d-7645e1fc6ad2,33d7361c-47af-44e2-8f25-f08e1bb8f5fe,1287d329-5cd7-4a91-915c-bb9a27ccbad7,8911e8c3-5a05-4d02-b00b-0701f9e180b4,False,
3aeb9009-eea5-4545-abbd-f32b5c2636d4,33d7361c-47af-44e2-8f25-f08e1bb8f5fe,9fd1bbec-8457-4a59-ae1b-21d3332242b1,1957408a-3c4e-4b3b-bf0e-431c7acaaf70,False,
5ce667d4-4303-4afa-b387-1bff22aacff5,33d7361c-47af-44e2-8f25-f08e1bb8f5fe,f02f9746-ea64-44fa-8dea-64041352a03b,955bbaab-7879-433f-8a56-59a758328320,False,
14154e02-e324-4c33-9d6e-0d44efac85a1,33d7361c-47af-44e2-8f25-f08e1bb8f5fe,4ac123bc-9c78-49a2-92ea-09caa879f7ed,81916c21-00d9-4256-b7e8-2c8132b193d5,True,2024-04-29 11:46:03
fcde660e-8cfc-43d6-89bb-a62ecfe223a2,33d7361c-47af-44e2-8f25-f08e1bb8f5fe,f02f9746-ea64-44fa-8dea-64041352a03b,c92cb1a9-24f7-4e8d-95e5-3c03ce05f2b6,True,2024-01-27 14:43:41
1da0d695-31be-4f42-b603-458e3ac2e4b8,33d7361c-47af-44e2-8f25-f08e1bb8f5fe,e9d59f32-82b4-4acc-b92a-158c490c6c2f,e4e2f0c3-77a2-4809-89c4-94071b652547,True,2024-08-22 03:40:04
e7ebdaa6-03be-4d4b-8a4a-dfbb9919a47c,33d7361c-47af-44e2-8f25-f08e1bb8f5fe,1287d329-5cd7-4a91-915c-bb9a27ccbad7,ed1473dd-ca52-4899-bcb3-95ac976064b2,False,
2dd53f2d-c2ae-4e3f-906a-6ffa0b440594,33d7361c-47af-44e2-8f25-f08e1bb8f5fe,902e7df8-eaa7-401e-ae0c-7954f1efed2f,e91c4c18-7330-4145-bc01-861773d7c85f,True,2024-04-04 06:16:12
f24ae232-39f5-42c4-8b6b-bf3b022324a6,33d7361c-47af-44e2-8f25-f08e1bb8f5fe,cadf6033-27aa-4d77-9e4d-18a6f3451d57,87dbb6ae-5691-4dc3-bff8-927b03490115,False,
74dc089d-3f5d-44a6-b341-9afafe44714d,33d7361c-47af-44e2-8f25-f08e1bb8f5fe,1287d329-5cd7-4a91-915c-bb9a27ccbad7,f01770a4-11ef-49de-80cb-1f4f602e68b7,False,
6c7cdfa1-e95f-447e-8b49-848557896a60,33d7361c-47af-44e2-8f25-f08e1bb8f5fe,dbee22e0-b97f-4bef-95e3-346a30a979f3,d48a0e99-03f8-47f2-88b1-c4c62cc8e192,True,2024-05-30 09:52:45
60001edf-0c61-4b92-8ab7-84c15f319c34,33d7361c-47af-44e2-8f25-f08e1bb8f5fe,e89339c8-71fc-43bb-a490-2dd1075b789e,61a96b86-d879-4490-8fe2-4d5684f3b9f5,False,
11854605-18e5-4596-b9c0-bd7ea8f65b51,33d7361c-47af-44e2-8f25-f08e1bb8f5fe,9fd1bbec-8457-4a59-ae1b-21d3332242b1,978a5846-edeb-4644-9480-1c315a93ab7f,True,2024-09-10 03:13:26
fc6c5855-3d81-4fa7-a8cb-fa47d65b923e,33d7361c-47af-44e2-8f25-f08e1bb8f5fe,e89339c8-71fc-43bb-a490-2dd1075b789e,6444d06f-1af3-4d00-ae4e-a34c8019c90f,True,2024-01-10 20:10:43
6148a1df-36e6-4105-ae60-dc6951da08b2,33d7361c-47af-44e2-8f25-f08e1bb8f5fe,e89339c8-71fc-43bb-a490-2dd1075b789e,a91472bb-d05b-4974-874f-ae26d211e4bc,False,
