progress_id,employee_id,course_id,completion_percentage,completed_at
6e052f52-cf4e-4b2e-9c6d-269fcc62aef8,33d7361c-47af-44e2-8f25-f08e1bb8f5fe,9fd1bbec-8457-4a59-ae1b-21d3332242b1,40,
864554e5-973f-4547-a082-5a9e43cff1f5,33d7361c-47af-44e2-8f25-f08e1bb8f5fe,e89339c8-71fc-43bb-a490-2dd1075b789e,3,
5ddc821b-5840-426b-94b3-feffe9d87bb9,33d7361c-47af-44e2-8f25-f08e1bb8f5fe,dbee22e0-b97f-4bef-95e3-346a30a979f3,83,
057fbfa3-7b09-4ad9-9b2e-ec57d3dfadf7,33d7361c-47af-44e2-8f25-f08e1bb8f5fe,e9d59f32-82b4-4acc-b92a-158c490c6c2f,80,
0af17b5d-1633-4cdf-a34e-0471d0738ce2,33d7361c-47af-44e2-8f25-f08e1bb8f5fe,eb937e20-4a35-4b84-af3a-9c432a68e35c,100,2024-10-01 17:10:50
8f6c2525-f634-4cf0-9232-51d0b4ab0a91,33d7361c-47af-44e2-8f25-f08e1bb8f5fe,cadf6033-27aa-4d77-9e4d-18a6f3451d57,47,
37df5948-b81c-4f1e-9f84-292305fe17f8,33d7361c-47af-44e2-8f25-f08e1bb8f5fe,c6b31f69-5e14-4ba4-b83b-e799ec1196ca,26,
a8d5baeb-aa83-4f13-8649-da48795728f6,33d7361c-47af-44e2-8f25-f08e1bb8f5fe,cb7009cb-1c14-48d4-949d-424dbd672a55,77,
175a6f4f-3e12-4abc-a709-26eb3c125c92,33d7361c-47af-44e2-8f25-f08e1bb8f5fe,6d03ee0a-7bed-45e0-ac24-0e1e3e7c550c,96,
4f2455bc-0342-4e44-b902-2a92c2de5f85,33d7361c-47af-44e2-8f25-f08e1bb8f5fe,cd86eecb-e99d-40c5-b43f-788d0624f4c7,84,
06516c51-9b5b-49b7-9c03-485097616bb7,33d7361c-47af-44e2-8f25-f08e1bb8f5fe,c55e2baa-e2f1-451f-be01-3616d99e9b3d,49,
5c753aa4-711f-45a6-9d85-59cd2089ffa3,33d7361c-47af-44e2-8f25-f08e1bb8f5fe,3889d9af-c802-4662-85d9-34efb90fbab7,14,
3a4e3bdf-79f2-407d-9e9a-c3e8eb5be1cb,33d7361c-47af-44e2-8f25-f08e1bb8f5fe,d8cf8c50-c44f-4126-a3bc-59e098607965,38,
e81dc2f3-f613-47a6-83f8-9ee71f402485,33d7361c-47af-44e2-8f25-f08e1bb8f5fe,4ac123bc-9c78-49a2-92ea-09caa879f7ed,20,
0048b6fd-d325-42a5-9551-d052eb017ac2,33d7361c-47af-44e2-8f25-f08e1bb8f5fe,902e7df8-eaa7-401e-ae0c-7954f1efed2f,17,
b9aa00ed-e4bd-4eec-b23c-e6056d193199,33d7361c-47af-44e2-8f25-f08e1bb8f5fe,8152a3c7-6230-4fd1-9945-df022b53b5e2,66,
