assignment_id,employee_id,course_id,assigned_at
36574c57-3c0b-4e33-a1b6-65a0b6c13615,6d19c180-92da-4d5f-9e8d-92030b99f39d,106b358b-973e-42b1-9154-94214dc7f604,2024-04-22 05:02:46
c26e16c5-22df-4fca-b92a-7ef5af7b77f0,89af6831-8b40-4fbf-86e4-c1c871105249,9e83f157-d468-419d-ad33-136689153d82,2024-07-10 00:51:53
398c9e8d-e37f-43bd-b662-8bc13657dea1,17365fa9-099c-4832-b731-b0405dff9e2c,7b96c6be-198f-40ea-a457-11b71fc95c61,2024-08-18 01:10:49
afad502d-408f-4cc6-8b95-314ebea595da,f884a6af-afcf-4dd1-ae84-8f5f02804ede,afa0180e-27c9-40c2-90b9-2c36049628da,2024-06-16 00:57:25
6bd03e8f-09a8-4ad2-94b5-b2d9a4858898,6483031e-7f1d-402e-a13d-56622e6157ee,106b358b-973e-42b1-9154-94214dc7f604,2024-01-16 04:14:21
380c0ee3-8feb-45ef-9156-25b9bf3c6417,1a95714c-7433-4b17-8676-9b6cb1c24c95,26992488-3e60-4fa9-aa4b-6d5a4354e20b,2024-05-03 23:40:10
3b34cf1b-0a9c-4e67-a2b9-bb10ab6f052e,77616122-6463-4f54-97bf-e41d45e28e0b,c388b418-ba14-4b9e-ae1f-b6ec6159ab06,2024-01-12 06:14:15
3c2a0017-ad56-4355-bd9b-9e01ba558107,07f6381b-edfe-4f3e-b485-0fc0d9fb6e97,8e577a9b-05fd-42e0-b632-df1326c8f571,2024-01-25 20:44:54
d31763f2-d380-4300-aaae-d16432193cc9,fd4a96d9-39b7-4d9b-a9b3-4fcb493e0e0b,e320cc11-248f-4fa2-9896-aaab2b4bc1ab,2024-01-17 07:12:04
eaf005fd-f0b0-4971-945e-952760231d6d,7b6cac55-e272-496a-bb17-0136c460474e,3a339568-c338-429e-8aef-293a3ea7f5bb,2024-06-07 02:52:00
d8c231ff-d653-4ade-ba27-8f467f440990,a3cd58bf-124b-4a01-89be-e74265c6ff54,7b96c6be-198f-40ea-a457-11b71fc95c61,2024-06-24 23:56:10
e12f386b-837e-411b-bf25-f78aa61bcb22,8145dc69-db05-4889-8115-6ae7bbeb03f4,a795581f-3613-443f-a730-ce6ac79674ae,2024-05-03 18:39:19
46c78fd0-71f8-426f-81c7-65aade8966db,81e6a967-835d-4467-a505-867bf80eb314,695d5577-cbaa-4e8d-ad22-b8f8de421192,2024-04-17 03:18:53
1278ce7e-c448-425f-b188-655deb414261,1882a27f-47dd-445c-a860-9860c38ee52d,90496e5e-acdd-418b-ad38-ad214e7a347e,2024-01-23 05:06:18
4b570794-5aa3-4054-be26-61e3f9bfd4ac,d7ced9c9-c125-45b2-91c7-241cf90e006d,8e577a9b-05fd-42e0-b632-df1326c8f571,2024-05-05 22:54:04
2a19af9f-e498-4694-b510-96239d1936c0,ea7a3269-5544-43ed-ad9f-f797a80c2832,2ff0eb16-b673-41dc-8f43-332b866d7b90,2024-04-18 20:04:39
03182fc1-dee4-44fd-989e-e89bfc060a28,f9d271d3-b328-4b2f-89bb-bd1b23ab7d32,4f3eb0d3-dd92-4afe-9c6c-cd1634770a52,2024-10-08 13:11:23
00affcc6-db4a-432a-8c8a-cebe84be441e,07f6381b-edfe-4f3e-b485-0fc0d9fb6e97,a83b5073-16b7-4acd-b748-514eb1a25314,2024-05-09 12:26:39
3e614453-9ad3-41ff-a4e4-17f902ce1b99,e33d2272-1399-4832-8289-920c45920b4c,f9623129-3998-4702-9949-2c9984428449,2024-05-16 15:06:44
3dae013f-3693-47af-b773-dd53a2241f14,84d7ebb2-9c2b-4149-9ab0-f7b51f82841e,a795581f-3613-443f-a730-ce6ac79674ae,2024-07-03 05:19:53
